TradeQ,Size,BuildYear,Distance,Reform,Price
1,90,2003,2,1,130
3,20,1998,4,0,23
1,65,2005,4,0,71
4,25,2012,2,0,35
4,80,2000,6,0,190
3,90,1980,1,1,97
3,55,1980,2,1,60
2,20,2000,1,0,25
2,20,2000,1,0,23
1,20,1980,2,1,22
3,20,2003,7,0,25
3,55,2013,2,1,100
2,20,1985,2,0,20
4,30,2002,3,0,34
1,20,2002,3,0,31
4,25,2000,3,0,33
4,35,1982,4,0,27
4,90,2003,3,1,190
4,45,1982,4,0,44
4,50,1982,3,0,49
2,65,1979,1,0,45
1,30,1982,4,0,30
4,30,1970,6,0,22
3,25,1985,3,0,26
1,40,1970,6,0,29
1,65,2014,4,0,120
1,90,2001,6,0,130
1,95,2014,4,0,230
2,20,2003,3,0,20
2,60,2004,2,1,94
1,70,2004,2,0,80
1,20,2003,3,0,25
3,20,2004,4,0,28
2,40,2013,7,0,42
2,65,2010,6,0,93
4,20,2002,2,0,24
3,20,2004,2,1,24
3,45,1998,4,1,58
2,50,2014,1,1,64
1,30,2005,2,0,32
1,50,2018,2,0,81
1,30,2000.5101766642038,3,0,28
2,20,1982,1,1,24
2,20,1982,1,1,22
1,25,1972,2,0,24
1,85,2004,1,0,140
3,50,2005,8,0,66
4,70,2006,2,0,72
3,70,2015,1,1,110
2,30,2006,2,0,33
2,40,2012,5,0,48
2,35,2012,5,0,44
2,35,2007,4,0,38
1,25,2002,6,0,26
1,35,2012,5,0,42
1,20,2001,3,0,27
4,20,2004,4,0,25
2,20,2004,4,0,25
2,40,2015,4,0,40
2,65,2005,2,0,64
2,50,2015,2,0,68
1,50,2015,2,0,63
1,20,2004,3,0,27
1,20,2004,4,0,19
1,55,2015,2,0,75
1,20,2005,4,0,24
1,20,2004,4,0,26
1,30,2005,2,0,29
4,25,1979,7,0,19
4,85,1979,7,1,120
3,95,1979,4,1,110
4,65,2003,2,0,92
4,80,2014,5,0,160
3,95,2014,5,0,200
2,40,2014,3,0,88
2,75,2014,3,0,210
2,70,2014,3,0,230
1,55,2014,3,0,140
1,75,2014,5,0,150
1,55,1996,5,1,86
1,70,2014,3,1,160
4,40,2000.5101766642038,2,0,80
2,50,2000.5101766642038,2,0,95
4,60,1999,2,0,79
4,70,1978,4,1,120
4,50,2017,5,1,110
2,55,1984,5,0,83
2,105,1978,4,1,25
4,65,2018,2,0,97
3,75,2019,2,0,120
3,55,2014,3,1,75
1,75,2019,2,0,120
4,40,2005,8,0,45
4,50,2005,8,0,41
4,70,2018,7,0,110
4,40,2016,3,0,44
3,20,2003,2,0,25
1,20,2002,3,0,27
1,75,2003,1,0,63
4,20,1991,3,1,24
2,20,2004,3,0,21
1,20,1991,3,1,20
4,90,2008,6,0,110
4,55,2010,0,0,70
4,65,2010,0,0,51
4,65,2007,8,0,65
4,20,2002,5,0,26
4,65,1997,10,0,58
4,20,1981,0,1,23
4,50,2010,0,0,70
4,80,2000,9,1,77
4,80,2016,6,0,97
4,20,2007,5,0,22
4,85,2010,0,0,110
4,50,2016,6,0,40
4,65,2001,3,0,66
4,40,2012,5,0,42
4,50,2003,4,1,63
4,40,2012,8,1,40
3,65,2016,6,0,83
3,20,2002,5,0,29
3,20,2008,4,1,27
3,50,1980,5,1,43
3,60,2008,6,0,64
3,40,2011,5,0,45
3,75,2008,6,0,87
3,65,2007,8,0,65
3,80,2008,6,0,93
3,35,1973,10,1,26
3,70,2008,6,0,79
2,45,1975,3,0,23
2,50,2014,2,0,54
2,40,2012,3,0,36
2,20,2008,4,0,27
2,115,2008,6,0,140
2,20,2008,4,0,26
2,75,2000,9,1,66
2,70,2008,6,0,71
2,95,2010,0,0,160
2,30,1999,3,0,38
2,20,2003,3,1,24
2,55,2010,0,0,68
2,55,2010,0,0,80
2,15,1974,0,1,12
2,70,2016,6,0,84
2,45,2004,3,0,46
2,70,2016,6,1,85
2,100,2008,6,1,130
2,50,2003,4,0,46
2,45,2012,5,0,41
2,70,2016,6,0,96
2,70,2012,8,0,78
1,55,2016,6,0,72
1,55,2016,6,0,66
1,70,2008,6,0,70
1,35,1973,10,0,19
1,20,2008,4,0,25
1,25,1980,1,0,14
1,40,1971,2,1,30
1,40,1971,2,1,31
1,55,2016,6,0,62
1,70,2008,6,0,72
1,45,2016,6,0,62
1,35,2007,3,0,40
1,55,2012,8,0,61
1,45,2003,4,0,42
1,30,1973,10,1,21
1,75,2008,6,0,78
1,65,2010,0,0,98
1,45,2016,6,0,57
1,65,2016,6,0,79
1,75,2008,6,0,82
1,65,2007,8,0,69
1,75,2016,6,0,84
1,80,2016,6,0,100
3,50,2003,2,1,150
2,15,1981,4,0,15
2,40,2004,3,0,45
3,35,2016,3,0,57
3,20,2004,3,0,34
2,20,2003,2,0,28
1,40,2019,4,0,71
4,25,2004,2,0,28
4,40,2012,6,0,53
4,40,2004,2,0,62
2,20,2005,3,0,29
1,50,2003,3,0,63
1,55,2004,2,1,71
1,30,2004,2,1,39
4,20,2001,7,0,24
4,65,2003,4,0,78
4,20,1977,3,0,11
4,25,2011,5,0,33
4,20,1974,8,0,13
4,20,2001,7,0,24
3,20,1974,8,0,14
3,35,2011,5,0,37
3,15,1974,8,0,11
2,55,1999,9,0,46
2,20,1977,3,0,6.6
1,25,1999,4,0,22
4,60,2015,4,0,77
4,30,1982,4,0,17
4,40,2004,3,0,30
4,40,2005,9,0,45
4,30,2012,5,0,32
4,40,2019,2,0,54
3,60,1997,7,1,73
3,40,2006,4,1,45
3,65,2001,8,0,40
3,10,1974,4,0,5
3,35,1981,5,1,33
3,10,1974,1,1,13
3,70,2001,4,0,71
3,55,2019,3,0,69
3,20,2002,4,0,24
3,40,1982,4,1,34
2,35,1982,4,0,23
2,20,2001,4,1,25
2,20,2002,4,0,25
2,50,2001,8,0,42
2,65,2011,4,0,83
2,70,2015,5,0,95
2,20,1999,7,0,21
2,70,2019,3,0,94
1,85,2012,3,0,77
1,65,2004,4,1,66
1,35,2019,2,0,56
1,25,2012,7,1,28
4,85,2013,3,0,170
4,25,2001,3,0,31
3,40,2013,2,0,52
3,55,2013,3,0,73
3,55,2012,1,0,74
1,45,2001,3,1,69
1,35,2007,3,0,43
1,55,2002,0,1,78
4,20,2000,1,0,13
3,80,2004,2,0,90
3,20,2005,1,0,27
3,45,1971,2,1,30
3,45,1971,1,1,38
3,40,2000.5101766642038,2,0,48
3,15,2000,1,0,25
3,40,2004,2,0,48
2,65,2000,1,0,58
2,20,2005,1,0,25
1,40,2005,1,0,36
1,20,2005,1,0,27
1,40,2004,2,0,35
1,25,1971,1,1,22
4,20,2004,3,0,19
4,20,1999,6,0,24
4,35,2014,2,0,54
4,20,2003,4,0,25
3,40,2017,1,0,52
3,20,2007,5,0,32
3,40,2017,1,0,53
3,55,2015,4,0,80
3,60,1999,5,0,65
3,55,2021,3,0,85
2,55,2012,6,0,64
2,70,2015,4,0,100
2,55,2021,3,0,74
1,55,2014,1,0,69
1,20,1999,5,1,22
1,20,1982,6,0,15
1,70,2012,6,0,85
2,20,1979,3,0,11
4,30,1972,4,1,32
4,20,1982,3,0,16
4,35,1982,3,1,32
4,40,2004,3,1,47
3,45,1972,3,0,11
2,20,1981,3,0,15
2,15,2004,3,0,26
4,15,1998,6,0,15
4,50,1971,4,1,41
4,40,1996,3,0,27
3,15,1996,6,0,17
3,20,2003,4,1,25
2,15,1974,5,0,11
1,25,1974,4,0,14
4,85,2003,0,0,94
4,25,1971,4,1,20
4,65,2015,0,1,110
4,40,2012,4,0,41
4,75,2020,2,0,130
4,60,2005,3,1,81
4,45,2015,0,0,70
4,25,2014,4,0,31
4,40,2014,4,1,47
4,60,2001,6,1,71
4,75,2015,0,0,120
4,80,2003,0,0,94
4,60,2013,4,0,71
4,20,2000.5101766642038,3,0,24
4,35,1984,2,0,36
3,20,2002,2,0,26
3,90,2015,0,0,120
2,40,2020,2,1,53
2,40,2020,2,0,54
2,70,2017,2,0,85
2,55,2020,2,0,76
2,75,2020,2,0,95
2,90,2003,0,0,110
2,20,2003,3,0,24
2,75,2020,2,1,86
2,60,2020,2,0,91
2,70,2020,2,1,96
2,70,2003,0,0,68
2,80,2020,2,0,130
2,20,2003,3,0,24
2,80,2020,2,0,150
2,40,1971,4,1,28
2,70,2020,2,0,100
2,70,2003,0,0,85
2,40,2020,2,0,58
2,50,2015,0,0,72
1,80,2015,0,0,140
1,70,2020,1,0,89
1,40,2020,2,0,53
1,50,2020,2,0,25
1,60,2020,2,0,68
1,65,2020,2,1,87
1,60,2015,2,0,75
1,40,2020,2,0,54
1,65,2012,4,1,80
1,70,1984,2,0,57
1,50,2015,0,0,69
1,20,2003,3,1,24
1,60,2015,2,0,78
1,55,2017,2,0,67
4,80,1999,9,0,110
4,60,2004,1,0,61
4,50,1999,9,0,65
4,90,1993,8,1,160
4,55,1991,7,0,60
4,70,2010,1,0,69
4,20,2003,1,0,25
4,75,1999,8,0,100
4,75,2016,3,0,78
4,50,2011,2,0,59
3,85,1999,9,0,130
3,80,1999,9,0,120
3,105,1999,9,1,170
3,45,2006,3,0,43
3,100,2004,3,0,140
3,40,2013,1,0,51
3,65,2004,1,0,73
3,45,2010,1,1,55
3,35,2004,3,0,35
3,40,2004,3,0,50
3,30,2004,3,1,39
3,60,2004,3,0,69
3,55,2011,2,0,63
3,25,1973,3,0,1.5
3,35,1997,1,0,37
2,60,2004,3,0,72
2,25,1973,3,1,13
2,55,1993,8,1,57
2,80,1999,9,1,150
2,20,2003,1,0,25
2,55,1993,8,1,62
2,40,2004,3,0,45
2,20,2003,1,1,23
2,25,2021,2,0,35
2,70,1999,9,1,100
2,70,1993,8,1,96
2,75,2016,3,0,91
2,45,2002,1,0,58
2,75,2004,3,0,83
2,80,2016,3,0,97
1,60,1991,7,0,60
1,65,1999,9,0,77
1,55,1999,9,0,57
1,85,1993,8,0,100
1,20,2006,3,0,24
1,80,1999,9,1,120
1,40,2011,0,0,46
1,115,1999,9,1,180
1,35,2006,1,0,42
1,50,2011,2,0,46
1,55,2002,1,0,65
1,70,1999,9,0,84
4,25,2004,3,0,35
4,35,2004,3,0,48
4,20,2002,3,1,23
4,30,2018,1,0,46
2,20,2002,3,1,25
2,30,2007,2,0,29
2,35,2003,2,0,44
2,25,2013,2,0,34
2,20,2004,2,0,27
2,55,2002,2,1,62
1,30,2007,2,0,39
1,20,2002,3,0,24
1,70,2004,2,0,75
1,55,2003,3,0,52
4,40,2019,3,0,54
1,20,2003,3,0,22
4,40,2012,2,0,47
4,25,1982,2,0,21
4,20,2006,3,0,27
4,50,2014,3,0,67
4,50,2000,2,0,56
4,55,1982,2,1,57
3,55,2003,3,0,68
3,20,2005,3,1,24
3,65,2015,2,0,88
3,20,2004,2,0,20
3,35,1997,2,0,37
3,60,1998,1,0,63
3,20,2006,3,0,20
2,20,1999,4,0,21
2,40,2009,3,1,50
2,60,2015,3,0,65
2,50,2015,4,0,75
1,60,2005,1,0,68
1,20,2002,3,0,25
1,30,2005,0,0,34
4,15,1979,3,1,12
3,25,2008,3,0,34
3,40,2015,2,0,49
3,25,2003,1,0,30
2,50,2001,5,1,59
1,20,2006,1,0,28
1,20,2003,1,0,29
1,20,2004,3,0,24
1,25,2007,3,1,29
4,20,2008,3,1,24
3,20,2002,2,0,30
3,20,2006,2,0,26
2,65,2013,2,0,88
2,30,2009,3,0,39
2,35,2000,2,0,38
2,35,2000,2,0,39
4,30,2009,2,0,40
4,20,2003,3,0,24
2,15,2003,3,0,14
1,20,2003,3,0,25
1,25,2010,4,0,29
3,65,2013,3,0,98
2,65,2013,3,0,100
2,20,1980,4,1,17
4,30,2017,1,0,35
2,20,2002,2,0,23
1,20,2000.5101766642038,5,0,21
3,25,2015,4,0,35
3,40,2001,6,0,36
2,20,2001,5,0,16
1,45,2001,6,0,46
4,35,2000,5,0,42
3,20,2002,5,0,23
3,40,2012,5,1,50
2,25,1999,4,0,27
2,40,2012,5,0,38
2,55,2019,3,0,86
2,70,2016,2,0,95
1,70,2016,2,1,110
1,20,1980,3,0,11
3,60,2006,3,1,72
4,20,2014,7,0,31
4,20,2008,5,0,27
3,25,1979,5,1,8.4
3,30,2004,4,0,35
3,60,1998,4,1,68
3,55,2008,5,0,53
2,50,2014,7,1,60
1,20,2008,5,0,26
1,35,2016,4,0,50
3,20,2003,1,1,24
3,35,2001,3,0,37
3,45,2005,1,0,44
3,55,2013,3,0,73
3,40,2008,1,1,47
3,20,2003,3,0,26
2,40,2005,1,0,40
2,15,1999,0,0,21
2,75,2005,1,1,80
2,20,1999,1,0,22
1,45,1998,3,0,50
1,60,2013,2,0,71
1,15,1999,0,0,20
1,60,2018,2,0,95
1,70,2002,4,0,75
1,20,2002,3,0,24
4,60,2018,1,0,69
2,20,2002,1,0,23
4,20,2005,2,0,25
4,65,2014,2,0,80
3,75,2014,2,0,73
3,65,2012,2,0,75
3,20,1999,4,0,23
3,45,1999,7,0,45
3,25,2018,3,0,34
3,65,2001,3,0,70
2,25,2002,2,1,25
2,40,1998,3,1,44
2,40,1982,3,1,37
2,25,2015,5,0,31
2,65,2001,3,0,67
1,40,1981,2,1,40
1,35,1980,3,0,12
1,20,1981,1,0,14
1,75,2014,2,0,83
1,25,2011,5,0,29
1,25,1980,3,1,21
1,20,2002,3,0,18
4,30,1999,8,1,32
4,70,1998,5,0,70
3,20,2004,4,1,27
2,65,2005,4,0,72
2,40,2005,4,1,58
1,85,1998,5,0,95
1,55,2011,5,0,75
4,35,1998,3,0,35
4,20,2003,2,1,24
4,40,2004,5,0,34
4,50,1999,1,0,58
4,65,1999,1,1,90
4,25,2013,5,0,24
4,35,2010,4,0,36
4,40,2005,2,1,50
4,30,2004,5,0,24
4,35,2012,5,1,50
4,35,2012,5,0,46
4,60,2016,0,0,98
4,25,2013,5,0,27
4,25,2014,3,0,30
3,35,2008,4,0,46
3,35,2004,6,1,45
3,55,2005,2,1,62
3,25,2014,3,0,28
3,25,2014,5,0,33
3,40,1974,2,0,14
3,40,2004,3,1,50
3,20,2002,2,0,24
3,25,1998,3,0,25
3,40,2010,5,0,39
3,45,1984,5,0,37
3,25,2019,4,0,38
3,55,2007,3,0,69
3,65,2016,0,0,120
2,50,2015,6,0,56
2,40,2016,0,0,56
2,25,1998,3,1,23
2,25,2013,5,0,34
2,15,1984,5,0,15
2,40,2004,5,0,31
2,25,2014,5,0,33
2,25,2013,5,0,29
2,35,1999,1,1,49
2,70,2018,2,0,99
2,25,2014,5,0,33
2,20,2002,5,0,21
2,55,2007,3,0,53
1,20,2000,3,0,23
1,25,2013,5,0,25
1,20,2002,2,0,21
1,65,2002,3,0,69
1,25,1998,3,0,24
1,20,2003,4,0,24
1,35,2000,1,0,40
1,25,1974,2,0,19
1,50,2015,6,0,160
1,75,2004,2,1,83
1,70,2017,2,0,85
1,25,2013,5,0,24
1,40,2010,5,0,56
1,55,2005,3,0,60
2,45,2002,3,0,42
4,20,2004,2,0,24
3,15,2004,2,0,22
3,50,2004,3,0,52
2,20,2004,2,0,27
2,35,2004,3,0,37
2,65,2014,3,0,78
2,65,2000.5101766642038,6,1,83
1,20,2004,2,0,25
1,50,2016,4,0,75
1,55,2006,4,0,45
1,50,2015,3,0,60
4,40,2006,3,0,46
4,40,2002,4,0,47
3,50,2006,3,0,62
2,25,2002,4,0,27
2,25,2002,3,0,26
2,50,2006,3,0,53
2,40,2006,3,1,45
2,30,1980,4,0,9.9
1,70,2002,3,0,79
1,35,2008,3,0,43
4,45,2004,2,0,43
3,45,2004,2,0,44
3,20,2004,2,0,27
3,55,2014,1,0,81
1,20,2004,2,0,31
1,20,2004,2,0,24
1,45,2005,2,0,55
4,35,2010,1,0,45
3,35,2010,1,1,47
2,35,2017,1,1,52
1,25,2001,4,0,27
4,55,2000,3,1,79
3,75,2000,3,0,82
3,25,2002,1,1,34
3,60,2014,2,0,86
2,25,2002,1,0,30
2,35,2005,1,1,52
1,30,1984,1,0,11
1,75,2000,3,0,79
1,25,2002,1,1,29
4,55,2015,10,0,72
4,85,1998,9,0,81
4,60,2016,13,0,60
4,80,2009,6,0,91
4,50,1998,9,0,43
4,85,1998,9,1,74
4,60,2015,10,0,88
4,65,2015,11,0,79
4,80,2009,13,0,85
3,65,2009,13,0,63
3,55,2015,10,0,62
3,55,2015,11,0,63
3,90,1998,9,0,94
3,70,2013,11,0,80
3,85,2015,10,0,77
3,35,2009,12,0,38
3,105,1998,9,0,93
3,70,2015,10,0,95
3,40,2013,11,0,57
3,95,2015,10,1,120
3,55,2015,10,0,81
3,65,2013,11,0,82
3,65,2013,11,0,72
2,40,2015,10,0,57
2,70,2015,10,0,81
2,45,2009,12,0,45
2,70,2015,11,0,70
2,70,2009,13,0,59
2,75,2015,11,0,79
2,55,2015,11,0,62
2,75,2013,11,0,84
2,55,2015,10,0,63
2,70,2015,11,0,72
2,65,2015,11,0,77
2,75,2015,11,0,99
2,70,2015,10,0,83
2,70,2015,10,0,79
2,80,2009,13,0,78
2,60,2016,13,1,70
2,55,2015,11,0,63
2,65,2013,11,0,71
2,55,2015,11,0,64
2,50,2015,10,0,79
2,60,2016,13,0,56
2,65,2009,13,0,70
2,75,2015,10,0,97
2,75,2015,11,1,97
2,40,2016,13,0,47
1,40,2015,10,0,59
1,45,2009,12,0,45
1,45,2015,10,1,63
1,90,2013,11,0,130
1,45,2016,13,0,48
1,55,2015,10,0,72
1,60,2016,13,0,71
1,40,2009,12,0,41
1,40,2015,10,0,57
1,40,2009,12,0,42
1,40,2013,11,0,47
1,75,2015,11,0,81
1,70,2015,10,0,83
1,60,2013,11,0,68
1,75,2016,12,0,87
1,55,2015,11,0,70
1,55,2015,11,0,61
1,65,2015,11,1,78
1,55,2015,11,0,62
1,75,2015,11,0,86
1,50,2015,11,0,61
1,65,2015,11,0,83
1,55,2015,11,0,65
1,55,2015,11,0,61
1,55,2015,11,0,62
1,55,2015,11,0,66
1,55,2015,11,0,66
1,65,2015,10,0,78
4,40,2019,12,0,54
4,45,2019,12,0,60
4,75,2019,12,0,100
4,70,2019,12,0,87
4,65,2019,12,0,79
2,60,1998,7,0,44
2,60,1998,7,0,45
2,55,2019,12,0,72
1,45,2019,12,0,54
3,25,2013,3,1,32
2,70,1998,3,0,60
2,20,2003,3,0,23
1,50,2012,3,0,48
4,40,2004,1,0,56
4,60,2018,1,0,81
3,35,2004,1,1,45
2,20,2004,1,1,27
2,55,2018,1,0,80
1,60,2007,2,0,69
4,20,2004,4,0,24
4,25,2015,0,0,36
4,20,2003,3,0,20
4,40,2011,3,0,49
4,20,1999,2,0,16
4,60,2018,3,0,75
4,25,2021,3,0,38
4,25,2021,3,0,39
4,50,2014,2,0,65
3,40,2003,1,0,49
3,20,2001,2,0,22
2,70,2005,2,0,59
2,20,2010,3,0,23
2,20,2006,3,0,23
2,20,2004,3,0,17
2,20,2005,4,0,21
1,40,2001,2,0,34
1,65,2004,3,1,83
4,55,2000,4,0,50
4,105,2017,8,0,230
4,25,2004,7,0,26
4,20,2006,7,0,21
4,25,2021,5,0,40
3,35,2005,6,0,39
3,25,2004,7,0,19
2,65,2015,6,0,80
2,60,2005,4,1,69
2,20,2003,5,0,29
1,45,2005,4,0,48
1,40,2015,5,1,46
1,20,2005,7,0,25
1,40,2005,4,0,45
1,50,2017,8,0,68
4,25,1985,3,0,22
4,40,1978,5,1,32
4,45,2019,6,0,70
3,70,2019,6,0,120
3,35,2011,3,0,26
3,50,1997,5,0,49
3,55,2019,6,0,85
3,55,2011,4,0,73
1,20,2005,5,0,24
3,50,1977,8,0,41
3,95,1999,4,1,200
1,40,2002,4,0,84
1,40,2002,4,0,61
4,15,1971,6,0,12
4,25,2019,3,0,46
4,30,2003,2,1,40
4,45,2009,7,0,88
4,75,1970,4,1,78
4,85,2008,4,0,290
3,100,2008,5,1,240
3,50,1999,1,1,77
3,20,1971,6,1,15
3,55,2013,6,1,120
3,20,2002,2,0,33
3,20,2002,3,0,30
3,35,1999,4,0,44
2,45,2013,7,0,120
2,50,2014,5,0,110
2,40,1978,5,0,36
2,20,1979,3,0,18
2,25,2016,2,0,37
2,50,1978,5,0,49
2,40,1978,5,0,35
1,75,2013,5,0,140
1,15,1980,7,0,13
1,95,2014,6,1,230
1,35,2001,5,0,48
1,15,1971,6,0,13
1,15,1971,6,0,13
1,40,1978,5,0,37
1,55,2008,4,1,130
1,70,2013,5,0,140
4,90,2009,9,0,190
4,45,2009,9,1,110
4,100,2009,9,0,220
3,75,2015,6,0,150
2,90,2009,9,0,190
1,20,1977,2,0,15
1,80,2009,9,0,150
2,20,1998,4,1,35
4,70,1964,8,1,66
4,15,1978,2,1,21
4,70,1964,8,1,70
4,40,2018,3,1,160
4,20,1983,7,1,20
4,20,1983,7,0,20
4,15,1978,2,0,22
3,25,1980,6,0,21
3,70,1998,4,1,120
3,45,1964,7,1,45
2,20,1980,5,0,12
2,40,2011,2,0,64
2,20,1983,7,1,23
2,20,1980,6,1,20
2,40,1978,2,0,48
2,20,1978,2,0,20
2,75,2018,8,0,280
2,70,1998,4,0,100
1,55,2014,5,0,100
1,25,1983,7,0,27
1,55,1983,7,0,40
1,20,2004,7,0,25
1,15,1979,2,1,20
1,25,1980,6,0,21
3,110,1999,8,1,210
1,110,1999,8,0,190
4,20,2001,3,0,29
4,15,2001,2,0,22
3,45,1998,1,0,62
3,15,1972,2,1,20
2,20,2000,1,1,33
2,20,2001,3,0,28
2,30,1998,5,0,33
2,25,1972,2,1,16
1,40,2000,3,0,58
1,50,1999,3,0,47
1,20,2003,2,0,29
4,75,2014,7,0,140
2,75,2014,7,1,190
1,60,2014,7,0,140
3,80,2013,6,0,160
4,20,2006,10,0,28
4,20,2006,3,0,21
4,25,2007,13,1,21
4,20,2004,7,0,24
3,20,2006,10,0,28
2,25,2002,3,0,24
2,25,2007,13,1,24
2,25,2008,10,0,28
2,20,2005,10,0,18
2,25,2008,10,0,26
2,25,2008,10,0,23
1,25,2008,10,0,31
1,20,2004,7,0,27
1,20,2006,10,0,25
1,20,2004,7,0,25
1,25,2015,7,0,31
1,20,2004,7,0,25
1,20,2015,15,0,26
4,45,2005,3,0,64
2,15,2004,7,0,24
4,60,2020,1,0,85
3,30,1998,4,0,31
3,55,2020,1,0,79
3,70,2001,2,1,73
4,25,1978,3,0,24
2,20,1978,3,0,23
3,40,2012,3,0,70
4,55,2000,13,0,61
4,50,1998,14,0,45
4,55,2004,21,0,48
4,75,2003,8,0,140
3,80,2005,19,1,81
3,45,2005,11,0,51
3,100,2005,11,0,110
3,60,2005,15,0,56
3,70,2005,11,0,72
3,85,2006,15,0,93
2,25,2008,15,0,31
2,60,2005,18,0,67
2,40,2005,18,0,50
2,25,2008,15,0,26
2,60,2005,18,0,56
2,25,2008,15,0,30
2,45,2005,18,0,52
2,50,1998,14,0,37
2,50,2004,21,0,80
1,25,2008,15,0,22
1,85,2005,19,0,83
1,85,2003,8,1,130
1,70,2003,8,0,120
1,25,2008,15,0,29
1,85,2005,18,0,89
1,45,2005,18,0,44
1,75,2005,11,1,79
1,50,2005,11,0,58
1,50,2003,8,0,79
1,80,2005,18,0,85
1,25,2008,15,0,28
4,90,2005,6,0,190
4,40,2005,6,0,55
4,35,2005,6,0,69
4,70,2005,14,0,60
4,75,2005,14,0,74
4,70,2006,7,0,70
4,75,2000,14,0,76
4,80,2005,14,0,82
4,95,2004,10,0,100
4,70,2004,10,0,68
3,60,2005,6,0,63
3,80,2005,14,0,80
3,60,2005,14,0,57
3,80,2005,6,0,96
3,65,2005,6,0,79
3,60,2005,6,0,75
3,70,2005,14,0,68
3,80,2005,6,0,98
2,70,2005,14,0,67
2,70,2005,14,0,66
2,80,2005,6,1,120
1,105,2004,9,0,110
1,70,2004,9,0,68
3,65,2012,3,0,120
2,20,1984,4,1,19
2,60,2012,3,0,100
1,15,1997,3,0,22
1,40,2012,3,0,70
4,20,2000,4,1,13
4,30,2015,9,0,41
4,15,1980,8,1,12
4,20,2000,4,0,20
4,50,1977,3,1,55
3,35,1997,4,1,48
3,20,2002,2,0,28
3,25,2015,3,0,37
3,25,2015,3,0,37
2,20,1981,5,1,16
2,30,2000,4,0,28
2,20,2001,7,0,26
2,25,2001,7,0,30
2,25,2015,3,0,35
1,20,2002,1,0,29
1,20,1997,2,1,22
1,15,1981,5,1,16
1,20,2000,4,0,29
4,20,2006,7,0,28
2,20,2006,7,0,25
4,25,1982,3,0,21
4,70,2007,7,1,130
3,75,2007,7,0,120
2,40,2007,7,0,60
2,65,2007,7,0,87
1,60,2007,7,0,87
